source_id,title,authors_or_org,date,source_type,url,bestsad_relevance,evidence_weight,notes
S01,"DreamCoder: Growing generalizable, interpretable knowledge with wake-sleep Bayesian program learning",Kevin Ellis et al.,2020-06-15,paper,https://arxiv.org/abs/2006.08381,learned abstractions/language growth,high,Primary precursor for iterative language/library learning.
S02,Top-Down Synthesis for Library Learning,Matthew Bowers et al.,2022-11-29,paper,https://arxiv.org/abs/2211.16605,Stitch abstraction extraction,high,Scalable corpus-guided library learning.
S03,LILO: Learning Interpretable Libraries by Compressing and Documenting Code,Gabriel Grand et al.,2023-10-30,paper,https://arxiv.org/abs/2310.19791,LLM+library learning,high,"Combines LLM synthesis, Stitch compression, and documentation."
S04,"Library Learning Doesn't: The Curious Case of the Single-Use ""Library""",Ian Berlot-Attwell et al.,2024-10-26,paper,https://arxiv.org/abs/2410.20274,negative evidence on reuse,high,Shows gains need not imply actual library reuse.
S05,AI Coders Are Among Us: Rethinking Programming Language Grammar Towards Efficient Code Generation,Zhensu Sun et al.,2024-04-25,paper,https://arxiv.org/abs/2404.16333,AI-oriented syntax / SimPy,high,AST-preserving AI-oriented grammar with reported token reductions.
S06,Investigating Subtokenization Options for Large Language Model Pretraining on Source Code,Nadezhda Chirkova et al.,2023,paper,https://arxiv.org/abs/2308.00683,code tokenization,high,Shows subtokenization materially changes sequence length.
S07,ShortCoder: Knowledge-Augmented Syntax Optimization for Token-Efficient Code Generation,Sicong Liu et al.,2026-01-14,paper,https://arxiv.org/abs/2601.09703,syntax optimization,medium-high,Separates token-efficient syntax/training from semantic language discovery.
S08,Token Sugar: Making Source Code Sweeter for LLMs through Token-Efficient Shorthand,Zhensu Sun et al.,2025-12-09,paper,https://arxiv.org/abs/2512.08266,reversible shorthand,medium-high,Learns token-efficient shorthand for frequent code patterns.
S09,Synthesizing DSLs for Few-Shot Learning,Paul Krogmeier; P. Madhusudan,2025-08-22,paper,https://arxiv.org/abs/2508.16063,DSL synthesis theory,high,Formalizes synthesis of a DSL/hypothesis class.
S10,Gradient-Based Program Synthesis with Neurally Interpreted Languages,Matthew V. Macfarlane et al.,2026-04-20,paper,https://arxiv.org/abs/2604.18907,learned discrete language + interpreter,high,NLI learns discrete symbolic-like primitives and differentiable executor.
S11,"Compile Once, Differentiate Everywhere: A Differentiable Meta-Circular Interpreter",Lucas Sheneman,2026-06-07,paper,https://arxiv.org/abs/2606.09930,program+parameter co-search,medium-high,Demonstrates differentiable interpretation for executable programs.
S12,Numerical Superoptimization for Library Learning,Jonas Regehr et al.,2026-03-25,paper,https://arxiv.org/abs/2603.24812,primitive discovery / GrowLibm,high,Ranks candidate primitives by counterfactual workload utility.
S13,GraphIR: Architecture-Level Search States for LLM-Guided Neural Architecture Evolution,Zhen Liu et al.,2026-08-03,paper,https://arxiv.org/abs/2608.01633,mutation-oriented representation,medium-high,"Motivates computation skeleton, mutation surface, validity envelope."
S14,AlphaEvolve: A coding agent for scientific and algorithmic discovery,Alexander Novikov et al.,2025-06-16,paper,https://arxiv.org/abs/2506.13131,evolutionary coding,high,Evaluator-grounded evolutionary code improvement.
S15,Self-Improving Language Models for Evolutionary Program Synthesis: A Case Study on ARC-AGI,Julien Pourcel et al.,2025-07-10,paper,https://arxiv.org/abs/2507.14172,search-to-training loop / SOAR,high,Uses evolutionary search traces for hindsight fine-tuning.
S16,Magellan: Autonomous Discovery of Novel Compiler Optimization Heuristics with AlphaEvolve,Hongzheng Chen et al.,2026-01-28,paper,https://arxiv.org/abs/2601.21096,compiler heuristic evolution,high,Demonstrates compiler policy as evolutionary target.
S17,CodeEvolve: An open source evolutionary coding agent for algorithm discovery and optimization,Henrique Assumpção et al.,2025-10-15,paper,https://arxiv.org/abs/2510.14150,island evolutionary search,medium-high,Open evolutionary coding framework with island model.
S18,egg: Fast and Extensible Equality Saturation,Max Willsey et al.,2020-04-07,paper,https://arxiv.org/abs/2004.03082,e-graphs/equality saturation,high,Core e-graph precursor.
S19,Sketch-Guided Equality Saturation: Scaling Equality Saturation to Complex Optimizations of Functional Programs,Thomas Koehler et al.,2021-11-25,paper,https://arxiv.org/abs/2111.13040,EqSat scalability,high,Demonstrates need for guidance to prevent blow-up.
S20,LLM-Guided Strategy Synthesis for Scalable Equality Saturation,Chenyun Yin et al.,2026-04-19,paper,https://arxiv.org/abs/2604.17364,EqSat strategy synthesis,high,Separates strategy DSL from raw backend code.
S21,Semantic foundations of equality saturation,Dan Suciu; Yisu Remy Wang; Yihong Zhang,2025-01,paper,https://arxiv.org/abs/2501.02413,formal EqSat semantics,medium-high,Formal treatment of equality saturation semantics.
S22,Defining Dialects,LLVM/MLIR Project,current 2026-08-17,official docs,https://mlir.llvm.org/docs/DefiningDialects/,extensible/dynamic MLIR dialects,high,Runtime-extensible operations/types/attributes and verifiers.
S23,MLIR Language Reference,LLVM/MLIR Project,current 2026-08-17,official docs,https://mlir.llvm.org/docs/LangRef/,IR semantics/traits/interfaces,high,Compiler substrate reference.
S24,Transform Dialect,LLVM/MLIR Project,current 2026-08-17,official docs,https://mlir.llvm.org/docs/Dialects/Transform/,transformation control,high,Explicit extensible transformation orchestration.
S25,MLIR Bytecode Format,LLVM/MLIR Project,current 2026-08-17,official docs,https://mlir.llvm.org/docs/BytecodeFormat/,versioning compatibility,high,Stable format with caveat about mutable dialect semantics.
S26,IRDL Dialect,LLVM/MLIR Project,current 2026-08-17,official docs,https://mlir.llvm.org/docs/Dialects/IRDL/,runtime IR definitions/verifiers,high,Relevant to declarative constraints.
S27,Alive2 Compiler Explorer / Translation Validation,Alive2 Project,current 2026-08-17,official tool,https://alive2.llvm.org/ce/,LLVM translation validation,high,Model for independent optimization validation.
S28,Verified VCG and Verified Compiler for Dafny,Daniel Nezamabadi et al.,2025-12-04,paper,https://arxiv.org/abs/2512.05262,verified compiler,high,"Mechanized semantics, VCG, compiler for Dafny subset."
S29,RustCompCert: A Verified and Verifying Compiler for a Sequential Subset of Rust,Jinhua Wu et al.,2026-02-07,paper,https://arxiv.org/abs/2602.07455,verified Rust compiler,medium-high,Ongoing verified compilation for restricted Rust.
S30,Opening the AI black box: program synthesis via mechanistic interpretability,Eric J. Michaud et al.,2024-02,paper,https://arxiv.org/abs/2402.05110,neural-to-program extraction / MIPS,high,Distills learned neural algorithms into programs on algorithmic tasks.
S31,Weights to Code: Extracting Interpretable Algorithms from the Discrete Transformer,Yifan Zhang et al.,2026-01,paper,https://arxiv.org/abs/2601.05770,transformer algorithm extraction,medium-high,Extends extraction direction toward transformer-like models.
S32,Emergence of Grounded Compositional Language in Multi-Agent Populations,Igor Mordatch; Pieter Abbeel,2017-03-15,paper,https://arxiv.org/abs/1703.04908,emergent discrete communication,high,Demonstrates learned discrete compositional communication.
S33,When LLMs Develop Languages: Symbolic Communication for Efficient Multi-Agent Reasoning,Zhengqi Pei et al.,2026-06-28,paper,https://arxiv.org/abs/2606.29354,LLM-invented symbolic protocols,medium-high,Evolved compact symbolic communication protocols.
